jobId;userId;userName;complaintId;assignedJob;repitition;expectedTimeRequired;startDate;startTime;expectedEndDateTime;dayToRepeat;remarks;updatedBy;updatedTime;patrolCode;
tsk114563;tcn184574;qwer qwer;-;1;0;1h;2023-01-20;00:00;2023-01-20 01:00;-;-;-;2023-01-19T19:31:01;2023-01-20 1;
tsk114563;tcn184574;qwer qwer;-;2;0;1h;2023-01-31;00:00;2023-01-31 17:00;-;-;-;2023-01-30T21:23:01;2023-01-31 1;
tsk114567;tcn184574;asdw asdw;-;1;0;0h;2023-02-15;10:30;2023-02-15 10:30;-;-;bde000001;2023-02-15 10:21;-;
tsk114567;scg184573;Ahmad Muhammad;-;PT;0;1h;2023-02-15;16:00;2023-02-15 17:00;null; ;null;2023-02-15 14:45;2023-02-15 16;
tsk114568;scg184577;hi hi;-;PT;0;1h;2023-02-16;00:00;2023-02-16 17:00;-; ;bde000001;2023-02-15 20:08;2023-02-16 1;
tsk114569;scg184576;hi hi;-;PT;0;1h;2023-02-16;08:00;2023-02-16 14:30;-; ;bde000001;2023-02-16 02:19;2023-02-16 8;
tsk114567;tcn184574;asdw asdw;-;1;0;1h;2023-02-18;16:30;2023-02-18 17:30;-;-;bde000001;2023-02-18 16:12;-;
tsk114568;scg184576;hi hi;-;MS;0;2h;2023-02-18;17:00;2023-02-18 19:00;-;-;bde000001;2023-02-18 16:35;-;
tsk114569;tcn184574;asdw asdw;-;1;0;1h;2023-02-18;19:00;2023-02-18 20:00;-;-;bde000001;2023-02-18 18:37;-;
tsk114570;cln000001;Ali Muhhamad;-;10;0;1h;2023-02-18;19:00;2023-02-18 20:00;-;-;bde000001;2023-02-18 18:39;-;
tsk114567;scg184576;hi hi;-;PT;0;1h;2023-02-21;08:00;2023-02-21 09:00;-; ;bde000001;2023-02-21 01:33;2023-02-21 8;
tsk114568;tcn184574;asdw asdw;-;1;0;1h;2023-02-21;02:00;2023-02-21 03:00;-;-;bde000001;2023-02-21 00:42;-;
tsk114569;scg184573;Ahmad Muhammad;-;PT;0;1h;2023-02-21;08:00;2023-02-21 09:00;-; ;bde000001;2023-02-21 02:32;2023-02-21 9;
tsk114567;tcn184574;asdw asdw;cmp456678;00;0;1h;2023-02-21;15:30;2023-02-21 16:30;-;-;bde000001;2023-02-21 15:28;-;
tsk114568;scg184576;hi hi;cmp456677;00;0;1h;2023-02-21;16:00;2023-02-21 17:00;-;-;bde000001;2023-02-21 15:49;-;
tsk114567;tcn184574;asdw asdw;cmp456678;00;0;1h;2023-02-21;16:30;2023-02-21 17:30;-;-;bde000001;2023-02-21 15:28;-;
tsk114567;scg184576;hi hi;-;MS;0;1h;2023-02-22;15:00;2023-02-22 16:00;-;Hello;bde000001;2023-02-22 13:52;-;
tsk114569;scg184576;hi hi;-;MS;0;1h;2023-02-22;17:00;2023-02-22 18:00;-;-;bde000001;2023-02-22 13:54;-;
tsk114571;scg184577;null;-;MS;0;2h;2023-02-22;20:00;2023-02-22 22:00;-;-;bde000001;2023-02-22 15:21;-;
tsk114570;scg184577;Yushuha YKL;-;20;0;2h;2023-02-22;20:30;2023-02-22 22:30;-;-;bde000001;2023-02-22 15:20;-;
tsk114575;tcn184574;Yushuha XYZ;cmp456676;00;0;1h;2023-02-23;16:00;2023-02-23 17:00;-;-;bde000001;2023-02-22 18:49;-;
tsk114576;scg184576;Yushuha EFG;-;PT;0;1h;2023-02-23;16:00;2023-02-23 17:00;-; ;bde000001;2023-02-23 09:03;2023-02-23 20;
tsk114578;-;null;-;PT;0;1h;2023-02-23;16:00;2023-02-23 17:00;-; ;bde000001;2023-02-23 10:03;2023-02-23 18;
tsk114579;-;null;-;PT;0;1h;2023-02-23;16:00;2023-02-23 17:00;-; ;bde000001;2023-02-23 10:06;2023-02-23 18;
