visitorPassId;visitorIC;visitorName;carPlate;visitorContact;date;time;checkInStatus;checkedInAt;checkedOutAt;residentId;lastUpdate
vsp543211;010101101111;Andrew Siah;VZ 8888;012-3456789;2023-02-01;23:13:10;Registered;2023-02-11 21:40:19;2023-02-01 17:59:57;tnt000001;2023-01-26 23:13:10
vsp543212;010101101111;Andrew ;VZ 8888;012-3456789;2023-02-02;23:13:10;Registered;2023-02-01 18:01:41;2023-02-01 18:01:48;tnt000001;2023-01-26 23:13:10
vsp543213;010101101111;Andrew wong;VZ 8888;012-3456789;2023-02-03;23:13:10;Registered;2023-02-01 18:00:15;2023-02-18 15:20:25;tnt000001;2023-01-26 23:13:10
vsp543214;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-04;23:13:10;Registered;2023-02-04 22:39:50;2023-02-18 15:21:22;tnt000001;2023-01-26 23:13:10
vsp543215;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-04;23:13:10;Registered;2023-02-18 15:21:26; ;tnt000001;2023-01-26 23:13:10
vsp543216;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-04;23:13:10;Registered; ; ;tnt000001;2023-01-26 23:13:10
vsp543217;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-03;23:13:10;Registered;2023-02-18 15:20:30; ;tnt000001;2023-01-26 23:13:10
vsp543218;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-03;23:13:10;Registered;2023-02-01 18:03:37; ;tnt000001;2023-01-26 23:13:10
vsp543219;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-04;23:13:10;Registered;2023-02-05 00:34:49;2023-02-05 00:34:54;tnt000001;2023-01-26 23:13:10
vsp543220;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-02;23:13:10;Registered;2023-02-17 23:49:36;2023-02-17 23:49:40;tnt000001;2023-01-26 23:13:10
vsp543221;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-15;23:13:10;Registered;2023-02-11 21:40:19; ;tnt000001;2023-01-26 23:13:10
vsp543222;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-15;23:13:10;Registered;2023-02-15 22:42:53;2023-02-15 22:43:05;tnt000002;2023-01-26 23:13:10
vsp543223;010101101111;Andrew Siah;VZ8888;012-3456789;2023-01-26;23:13;Registered; ; ;rsd000001;2023-02-01 22:46:01
vsp543224;123;abc;1234;12345;2023-02-15;00:30;Registered;2023-02-15 22:41:17;2023-02-15 22:48:36;vdr000002;2023-02-07 15:37:00
vsp543225;123;abc;1234;12345;2023-02-15;00:30;Registered;2023-02-15 22:44:28;2023-02-15 22:48:51;vdr000001;2023-02-07 15:37:00
