visitorPassId;visitorIC;visitorName;carPlate;visitorContact;date;time;checkInStatus;checkedInAt;checkedOutAt;residentId;lastUpdate
vsp543211;010101101111;Andrew Siah;VZ 8888;012-3456789;2023-02-01;23:13:10;Registered;2023-02-11 21:40:19;2023-02-01 17:59:57;tnt000001;2023-01-26 23:13:10
vsp543212;010101101111;Andrew ;VZ 8888;012-3456789;2023-02-02;23:13:10;Registered;2023-02-01 18:01:41;2023-02-01 18:01:48;tnt000001;2023-01-26 23:13:10
vsp543213;010101101111;Andrew wong;VZ 8888;012-3456789;2023-02-03;23:13:10;Registered;2023-02-01 18:00:15; ;tnt000001;2023-01-26 23:13:10
vsp543214;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-04;23:13:10;Registered;2023-02-04 22:39:50; ;tnt000001;2023-01-26 23:13:10
vsp543215;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-04;23:13:10;Registered; ; ;tnt000001;2023-01-26 23:13:10
vsp543216;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-04;23:13:10;Registered; ; ;tnt000001;2023-01-26 23:13:10
vsp543217;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-03;23:13:10;Registered; ; ;tnt000001;2023-01-26 23:13:10
vsp543218;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-03;23:13:10;Registered;2023-02-01 18:03:37; ;tnt000001;2023-01-26 23:13:10
vsp543219;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-04;23:13:10;Registered;2023-02-05 00:34:49;2023-02-05 00:34:54;tnt000001;2023-01-26 23:13:10
vsp543220;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-02;23:13:10;Registered; ; ;tnt000001;2023-01-26 23:13:10
vsp543211;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-15;23:13:10;Registered;2023-02-11 21:40:19; ;tnt000001;2023-01-26 23:13:10
vsp543212;010101101111;Andrew low;VZ 8888;012-3456789;2023-02-15;23:13:10;Registered; ; ;tnt000001;2023-01-26 23:13:10
